route_id,stop_ids
260B,"['S1003', 'S1154', 'S2093', 'S2094', 'S2308', 'S2097', 'S2311']"
262A,"['S2315', 'S2316', 'S2289', 'S2318', 'S2300']"
262B,"['S2323', 'S2324']"
263A,"['S2328', 'S117', 'S2330', 'S2332', 'S2333', 'S2334', 'S2335', 'S853', 'S2337', 'S1798', 'S2340', 'S2341']"
263B,"['S2345', 'S504', 'S306', 'S2351', 'S2352', 'S2354', 'S2355', 'S2356', 'S2357', 'S2359', 'S881', 'S2362', 'S2363', 'S2364', 'S2365', 'S2366']"
264A,"['S2370', 'S2371', 'S2373', 'S1923', 'S2375', 'S1877', 'S1949', 'S2380']"
264B,"['S1818', 'S1815', 'S1863', 'S2387', 'S2388', 'S2390', 'S1933', 'S2394', 'S1932']"
265A,"['S1111', 'S2401', 'S2403']"
265B,"['S2407', 'S2409', 'S2410']"
266A,['S2414']
266B,[]
267A,"['S2421', 'S2422', 'S2423', 'S2424', 'S2425', 'S2426', 'S2428', 'S2429']"
267B,"['S2434', 'S2435', 'S2436', 'S2437', 'S2438']"
269A,"['S2442', 'S2443']"
269B,['S2447']
270A,"['S2451', 'S2452', 'S2453', 'S2454', 'S2455', 'S991', 'S2457', 'S2458', 'S993']"
270B,"['S2463', 'S2464', 'S934', 'S934', 'S2467', 'S2468']"
271A,"['S2472', 'S2473', 'S2474', 'S2475', 'S890', 'S891']"
271B,"['S2481', 'S2482', 'S2483', 'S2484', 'S2486', 'S2487', 'S2488', 'S1123', 'S2409']"
273A,['S2495']
273B,"['S2437', 'S2488', 'S2438', 'S1123']"
274A,"['S2508', 'S2509', 'S2510']"
274B,"['S2515', 'S2516', 'S2517']"
275A,"['S2522', 'S2523', 'S1573', 'S280', 'S282', 'S2528', 'S286', 'S2530']"
275B,"['S2534', 'S294', 'S2536', 'S1581', 'S2540', 'S2541', 'S1585', 'S332', 'S2547', 'S1588', 'S1589', 'S1592', 'S2555', 'S2517', 'S2559', 'S2561', 'S2562']"
276A,"['S2566', 'S2567', 'S2294', 'S2293', 'S210', 'S2291', 'S2289', 'S2288']"
276B,"['S2578', 'S2311', 'S2580', 'S2437', 'S2582', 'S2583', 'S2438', 'S1123']"
277A,"['S2589', 'S2590', 'S2591', 'S2592', 'S928', 'S2594', 'S2595']"
277B,"['S998', 'S2599', 'S2600', 'S2468', 'S2488', 'S2583', 'S1123', 'S2608']"
278A,"['S2612', 'S2613', 'S2614', 'S2615']"
278B,[]
281A,"['S2622', 'S947', 'S949', 'S950', 'S2627', 'S2628']"
281B,"['S2632', 'S1122', 'S2634', 'S2635', 'S2636', 'S2637']"
282A,"['S2641', 'S2082']"
282B,"['S2646', 'S2647', 'S2649', 'S2650', 'S2652', 'S2488', 'S2438', 'S2409']"
283A,"['S1011', 'S1018', 'S2664', 'S2665', 'S2666', 'S925', 'S2668', 'S2669', 'S2318', 'S2672', 'S2673']"
283B,"['S2677', 'S1025']"
284A,"['S2682', 'S2683']"
286A,['S2687']
286B,[]
287A,[]
287B,['S2697']
288A,"['S2702', 'S43']"
288B,"['S2707', 'S2708']"
290A,"['S1979', 'S1949']"
290B,['S958']
291A,['S2721']
291B,['S2468']
293A,"['S2495', 'S2730', 'S2731']"
293B,"['S2735', 'S2409']"
295A,['S949']
295B,[]
296A,"['S949', 'S2748']"
296B,"['S2752', 'S2634']"
298A,"['S2757', 'S2758', 'S551', 'S2760', 'S2194', 'S2763', 'S2764']"
